10-01-2022 20:25:52.167 INFO  c.e.x.controller.XmlController.parseProjectByPath - Run into API: /pathParse
10-01-2022 20:25:52.188 INFO  c.e.x.controller.XmlController.parseProjectByPath - Start building xml tree...
10-01-2022 20:25:52.499 INFO  c.e.x.controller.XmlController.parseProjectByPath - Done parsing xml tree...
10-01-2022 20:25:52.545 INFO  c.e.x.controller.XmlController.parseProjectByPath - Parsing xml nodes done in 376 ms!
10-01-2022 20:25:52.545 INFO  c.e.x.controller.XmlController.parseProjectByPath - Recalculating xmlNode id by javaNode id...
10-01-2022 20:26:03.458 INFO  c.e.x.controller.XmlController.analyzeDependency - Run into API: /dependency
10-01-2022 20:26:03.461 INFO  c.e.x.controller.XmlController.analyzeDependency - Analyzing dependency...
10-01-2022 20:26:03.563 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\formApportionmentBox.xhtml\html:23:52\c:implementation:46:23\div:79:43\p:selectOneMenu:84:79\f:selectItem:87:67 with value menu
10-01-2022 20:26:03.563 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\listApportionmentBox.xhtml\html:24:52\c:implementation:47:23\div:48:26\div:63:48\p:dataTable:72:71 with value messages
10-01-2022 20:26:03.563 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\listApportionmentBox.xhtml\html:24:52\c:implementation:47:23\div:48:26\div:63:48\p:dataTable:72:71\p:column:75:90 with value messages
10-01-2022 20:26:03.564 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\listApportionmentBox.xhtml\html:24:52\c:implementation:47:23\div:48:26\div:63:48\p:dataTable:72:71\p:column:79:93 with value messages
10-01-2022 20:26:03.564 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\listApportionmentBox.xhtml\html:24:52\c:implementation:47:23\div:48:26\div:63:48\p:dataTable:72:71\p:column:84:84 with value messages
10-01-2022 20:26:03.564 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\listApportionmentBox.xhtml\html:24:52\c:implementation:47:23\div:48:26\div:63:48\p:dataTable:72:71\p:column:92:72 with value messages
10-01-2022 20:26:03.564 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\listApportionmentBox.xhtml\html:24:52\c:implementation:47:23\div:48:26\div:49:36\div:53:41\p:commandButton:60:85 with value menu
10-01-2022 20:26:03.564 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\listApportionmentBox.xhtml\html:24:52\c:implementation:47:23\div:48:26\div:63:48\p:dataTable:72:71\p:column:92:72\p:commandButton:98:103 with value menu
10-01-2022 20:26:03.565 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\paymentBox.xhtml\html:24:52\c:implementation:52:23\div:53:26\div:75:47\p:selectOneMenu:81:77\f:selectItems:88:73 with value enums
10-01-2022 20:26:03.565 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\paymentBox.xhtml\html:24:52\c:implementation:52:23\div:53:26\div:91:66\div:92:34\div:94:72\p:selectOneMenu:99:85\f:selectItem:102:79 with value menu
10-01-2022 20:26:03.565 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\paymentBox.xhtml\html:24:52\c:implementation:52:23\div:53:26\div:91:66\div:92:34\div:110:78\p:selectOneMenu:115:85\f:selectItem:118:79 with value menu
10-01-2022 20:26:03.565 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\paymentBox.xhtml\html:24:52\c:implementation:52:23\div:53:26\div:91:66\div:92:34\div:126:77\p:selectOneMenu:131:85\f:selectItem:134:79 with value menu
10-01-2022 20:26:03.565 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\resources\webbudget\ui\warningBox.xhtml\html:22:52\c:implementation:30:23\div:31:46\h4:32:17 with value messages
